year,iso3,INFRA,INFRA_PC,INFRA_k,HCR,HCR_PC,HCR_k
2003,RWA,-0.7607893828810917,-0.7624666236997484,4,-0.46084711970665587,-0.47090728608081983,4
2003,SDN,-0.10338176722758882,-0.0968746269653638,4,-0.05112775391985852,-0.09585640539929675,4
2003,SEN,0.483184252901103,0.4813349303612089,4,-0.5530235155544743,-0.5858543301813827,4
2003,SLE,-0.680350673916194,-0.6867981778580801,4,-0.5204493048622869,-0.5203715623271014,2
2003,SOM,-0.5484815338596122,-0.5508855835815619,4,,,0
2003,SSD,,,0,,,0
2003,STP,1.071817376951659,1.1029537333722033,4,0.15789407869926125,0.1553880287110749,2
2003,SWZ,0.5732920038847868,0.5716222853203745,4,0.5351051045684873,0.5308524807480492,4
2003,SYC,2.7792901277689372,2.782932571647411,4,2.4090361998875163,2.3987706329746494,2
2003,TCD,-0.953116451500915,-0.9494211927150923,4,-1.1173123138451593,-1.1113734838177651,4
2003,TGO,-0.07373360660169205,-0.07739855277613855,4,0.20596472866912566,0.2082322111615075,3
2003,TZA,-0.4692713952743066,-0.4769892192658367,4,-0.5115165704760157,-0.4819659612460485,3
2003,UGA,-0.599367546531153,-0.607282284682735,4,0.39404163299508554,0.3987781043343884,3
2003,ZAF,1.9872873289638973,1.98425550204647,4,1.8310758180678892,1.8316400974933376,3
2003,ZMB,-0.34306208864424415,-0.34062910240399935,4,0.5768954216298439,0.5766692732984583,2
2003,ZWE,0.21304029134351243,0.22157130841840308,4,0.797204756618784,0.7875094800081743,3
2004,AGO,-0.4440799276899945,-0.44783929504459785,4,-0.5940592962561808,-0.6002886743801108,4
2004,BDI,-0.9600566432922258,-0.9557235587066367,4,-0.8907204701150511,-0.9045111329667164,4
2004,BEN,-0.18767258119997063,-0.19118865500632232,4,-0.11110894332240269,-0.1390743559255949,4
2004,BFA,-0.6819021647157515,-0.6843985675539941,4,-1.1834176355301593,-1.2023912842091253,3
2004,BWA,1.0340525928624928,1.01942397654589,4,1.692393343861101,1.6983006404713887,4
2004,CAF,-0.9872607732703547,-0.9844823825009638,4,-0.8982006740382943,-0.9041605013748277,3
2004,CIV,0.19841095216482865,0.19129172690898993,4,-0.45539845388955624,-0.45568113410537603,2
2004,CMR,0.0705440595525332,0.060729689038002584,4,-0.0021281869753187604,-0.026111850102775076,4
2004,COD,-0.8632936142666299,-0.8722851769719278,4,0.019676132615355862,0.01824558636358948,2
2004,COG,-0.06093397915780717,-0.07538565987765394,4,0.585121659421907,0.5872819088710569,4
2004,COM,-0.005062837754982577,0.01631560990745807,4,0.12744920398203463,0.12844110804048658,4
2004,CPV,1.4792905396231226,1.4894151021184927,4,1.0171097528648922,1.0272155481543297,4
2004,DJI,0.06027989275818524,0.0643710432865114,4,-1.283147529178131,-1.2980666466954893,3
2004,ERI,-0.5649854821614009,-0.5488622964198773,4,0.031197787585288666,0.06282743269502557,3
2004,ETH,-1.033327557700953,-1.0162876113439587,4,-0.8006756689712844,-0.8166010050422293,4
2004,GAB,1.2525591275827488,1.2374719094749034,4,1.300755491398665,1.3013533541406417,2
2004,GHA,0.30584083341278806,0.3050145206852994,4,0.07005618619354347,0.06837971144586438,3
2004,GIN,-0.7370757422737605,-0.7314408190829602,4,-0.727480090701897,-0.7339087410147301,4
2004,GMB,0.512008237330556,0.5107308931315244,4,-0.8931269306248968,-0.8812841990019603,3
2004,GNB,-0.49521517634275597,-0.489844976351871,4,-0.08881958526912237,-0.0934917175709269,2
2004,GNQ,0.2504803350899078,0.24842167093420794,4,-0.045182212109844744,-0.05907030274625933,3
2004,KEN,0.056223187544550024,0.05574726426888703,4,0.4101724782576037,0.42549352523318473,4
2004,LBR,-0.9003479714827182,-0.9111762125246696,3,0.28857823896979634,0.2902340206433297,2
2004,LSO,0.026734468735321898,0.017740748552111593,4,0.40585974576933254,0.41305502647360537,4
2004,MDG,-0.7683629342237253,-0.7638207611923137,4,-0.053209128504479564,-0.04251273732120789,3
2004,MLI,-0.6293500148368261,-0.6317831798858771,4,-0.8294070528009949,-0.8471972322920658,4
2004,MOZ,-0.6294273635775957,-0.6330217131167655,4,-0.8852154760690734,-0.8811284093655534,4
2004,MRT,0.03673414043389697,0.010062155060220498,4,-0.4006504720044748,-0.4171505817326729,4
2004,MUS,2.616047173024743,2.6243006135927076,4,2.0550531684230036,2.0453925025062696,4
2004,MWI,-0.8108028927871127,-0.8078533166276706,4,-0.3671516792849522,-0.32483709417207723,4
2004,NAM,0.8985372061155001,0.8969796769831682,4,1.1704162558531197,1.1759291052847507,4
2004,NER,-0.999602616956429,-0.9959479761456631,4,-1.557839057348282,-1.5583941335724685,4
2004,NGA,0.047716150244747665,0.04545368996972638,4,0.5547082214453388,0.5172112186085546,4
2004,RWA,-0.8961256732568259,-0.891972044889502,4,-0.3699263428396188,-0.3814781456730965,4
2004,SDN,-0.05681891525365296,-0.051447173374680105,4,0.049577435127927394,0.0006092580343944916,4
2004,SEN,0.5573627357263261,0.5595823373737663,4,-0.552090906978539,-0.5855103533761733,4
2004,SLE,-0.5800796842845831,-0.591495412492859,4,-0.5276622049398983,-0.5276350403589638,2
2004,SOM,-0.3609742576180653,-0.36484808832313737,4,,,0
2004,SSD,,,0,,,0
2004,STP,1.0624970289961648,1.0932342107582567,4,0.21316947819269794,0.2123170832326413,2
2004,SWZ,0.6361328249623042,0.6317569076465644,4,0.5688716631382257,0.5646999447388406,4
2004,SYC,2.8105806426922237,2.818372089878886,4,2.3600103127072463,2.349377613047874,2
2004,TCD,-1.0375254795918116,-1.0328554186620893,4,-1.1106894490554178,-1.1094083166789737,4
